Date,Open,High,Low,Close,Adj Close,Volume
2017-07-18,51.430000,51.619999,51.020000,51.560001,50.037670,1285900
2017-07-19,51.799999,52.090000,51.700001,51.810001,50.280289,1217000
2017-07-20,51.880001,52.230000,51.849998,52.029999,50.493793,930500
2017-07-21,52.020000,52.139999,51.639999,52.110001,50.571430,1245500
2017-07-24,52.240002,52.240002,51.889999,52.040001,50.503494,1041100
2017-07-25,52.220001,52.410000,51.880001,51.980000,50.445271,1040500
2017-07-26,51.959999,52.209999,51.790001,51.919998,50.387039,1362000
2017-07-27,51.950001,51.950001,50.939999,51.139999,49.630070,1914900
2017-07-28,51.410000,51.639999,51.099998,51.520000,49.998852,1231800
2017-07-31,51.529999,51.709999,51.259998,51.540001,50.018261,992800
2017-08-01,51.720001,51.730000,50.849998,51.200001,49.688297,1071600
2017-08-02,51.160000,51.490002,51.119999,51.320000,49.804752,972400
2017-08-03,51.169998,51.330002,50.849998,50.889999,49.387455,1026700
2017-08-04,50.980000,51.099998,50.689999,50.759998,49.261288,1088900
2017-08-07,50.790001,50.880001,50.639999,50.680000,49.183655,447000
2017-08-08,50.689999,51.000000,50.529999,50.910000,49.406857,1192700
2017-08-09,50.570000,50.750000,50.380001,50.730000,49.232174,1267300
2017-08-10,50.560001,50.709999,49.990002,50.060001,48.581955,1226700
2017-08-11,49.930000,50.430000,49.910000,50.110001,48.630478,920400
2017-08-14,50.250000,50.709999,50.139999,50.360001,48.873100,1021600
2017-08-15,50.509998,50.540001,50.290001,50.340000,48.853691,914100
2017-08-16,50.650002,50.790001,50.500000,50.610001,49.115719,1165100
2017-08-17,50.560001,50.750000,50.250000,50.250000,48.766350,917500
2017-08-18,50.570000,50.790001,50.160000,50.650002,49.154537,1027900
2017-08-21,50.740002,51.299999,50.639999,51.240002,49.727119,1931600
2017-08-22,51.400002,51.529999,51.070000,51.150002,49.639774,1280800
2017-08-23,51.000000,51.740002,50.930000,51.480000,49.960033,1235800
2017-08-24,51.709999,51.770000,51.480000,51.750000,50.222057,946700
